Kecamatan ;Jan;Feb;Mar;Apr;Mei;Juni;Jul;Agt;Sept;Okt;Nop;Des
Susukan; - ;1; - ;1; - ;2; - ; - ;1; - ; - ;2
Purwareja Klampok;1; - ; - ; - ; - ; - ; - ;1; - ; - ; - ; - 
Mandiraja; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Purwanegara;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Bawang; - ; - ; - ; - ; - ; - ; - ;1; - ; - ; - ; - 
Banjarnegara;1;1; - ; - ;1; - ; - ; - ; - ; - ; - ;1
Pagedongan; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Sigaluh; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Madukara; - ; - ;1; - ; - ; - ; - ; - ; - ; - ; - ; - 
Banjarmangu; - ; - ; - ;1; - ; - ; - ;1; - ;1; - ; - 
Wanadadi; - ;1; - ; - ; - ; - ;1; - ; - ;1; - ; - 
Rakit; - ; - ; - ; - ;1; - ; - ; - ;1; - ;1; - 
Punggelan; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;2
Karangkobar; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pagentan; - ; - ; - ; - ; - ; - ;1; - ; - ; - ; - ; - 
Pejawaran; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Batur; - ; - ; - ; - ; - ; - ; - ;3; - ; - ; - ; - 
Wanayasa; - ; - ; - ; - ; - ;1; - ; - ; - ; - ; - ; - 
Kalibening; - ; - ; - ; - ; - ; - ;1; - ; - ;1; - ; - 
Pandanarum; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
