Kecamatan;Jan;Feb;Mar;Apr;Mei;Juni;Jul;Agt;Sept;Okt;Nop;Des
Susukan; - ; - ; - ;1; - ; - ; - ; - ; - ; - ; - ; - 
Purwareja Klampok; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Mandiraja; - ; - ; - ; - ;1; - ; - ;;1; - ; - ; - 
Purwanegara; - ; - ; - ; - ; - ; - ; - ; - ;1; - ; - ; - 
Bawang;1; - ; - ;1; - ; - ;1; - ; - ; - ; - ; - 
Banjarnegara; - ; - ;2;3; - ; - ; - ;1; - ; - ; - ; - 
Pagedongan; - ; - ; - ;2; - ; - ; - ; - ; - ; - ; - ; - 
Sigaluh; - ; - ; - ; - ;1; - ;1; - ; - ; - ; - ; - 
Madukara; - ; - ; - ;1; - ;1; - ; - ; - ; - ; - ; - 
Banjarmangu; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Wanadadi;1; - ; - ; - ;1; - ; - ; - ;1; - ; - ; - 
Rakit; - ; - ; - ; - ; - ;1; - ; - ; - ; - ; - ; - 
Punggelan;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Karangkobar; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pagentan;1; - ; - ;1;2; - ;1; - ; - ; - ; - ; - 
Pejawaran; - ; - ; - ; - ; - ;3; - ;1; - ; - ; - ; - 
Batur; - ; - ; - ; - ; - ; - ;1; - ; - ; - ; - ; - 
Wanayasa;1; - ;1;1; - ; - ; - ; - ; - ; - ; - ; - 
Kalibening; - ; - ; - ; - ; - ; - ;1; - ;1; - ; - ; - 
Pandanarum; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
