Kecamatan;Jan;Feb;Mar;Apr;Mei;Juni;Jul;Agt;Sept;Okt;Nop;Des
Susukan; - ; - ;2;2;1; - ; - ; - ; - ; - ; - ;9
Purwareja Klampok; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;1; - 
Mandiraja;1; - ; - ;1; - ; - ; - ; - ; - ; - ;2;3
Purwanegara; - ; - ;3;2;5;1; - ; - ; - ; - ;2;3
Bawang;4; - ;5; - ;3; - ; - ; - ; - ; - ;1;3
Banjarnegara; - ;1;9; - ;2; - ; - ; - ; - ; - ; - ;2
Pagedongan;1;1;8;2;26; - ; - ; - ; - ; - ;1;1
Sigaluh; - ; - ;2; - ; - ;1; - ; - ; - ; - ;1;2
Madukara; - ; - ;4; - ;6; - ;1; - ; - ; - ;2;2
Banjarmangu; - ;2; - ; - ;6; - ; - ; - ; - ; - ; - ;6
Wanadadi;1; - ; - ; - ; - ; - ; - ; - ; - ;1; - ;2
Rakit; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;2
Punggelan;2; - ;2;2;6; - ; - ; - ; - ; - ;1;27
Karangkobar;1; - ;3; - ; - ; - ; - ; - ; - ; - ; - ;3
Pagentan;2;4;5;2;7; - ; - ; - ; - ; - ;3;3
Pejawaran; - ;5; - ; - ; - ; - ; - ; - ; - ; - ; - ;3
Batur;1;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Wanayasa;1;2;1;1;3; - ; - ; - ; - ; - ;1;1
Kalibening; - ;1; - ; - ; - ; - ; - ; - ; - ; - ;2;2
Pandanarum; - ;2; - ;1;1; - ; - ; - ; - ; - ; - ;13
