Kecamatan;Jan;Feb;Mar;Apr;Mei;Juni;Jul;Agt;Sept;Okt;Nop;Des
Susukan; - ; - ; - ;1; - ; - ; - ; - ; - ; - ; - ; - 
Purwareja Klampok;1; - ; - ; - ; - ; - ; - ; - ;2; - ; - ; - 
Mandiraja; - ; - ;1; - ; - ; - ; - ; - ; - ;1;1; - 
Purwanegara; - ;1; - ; - ; - ; - ; - ;1;1;3; - ;1
Bawang; - ; - ; - ; - ; - ; - ; - ;1; - ;2; - ; - 
Banjarnegara; - ;1;2; - ; - ;3; - ; - ; - ; - ; - ; - 
Pagedongan; - ; - ; - ; - ; - ; - ; - ;1; - ;1; - ; - 
Sigaluh; - ; - ; - ; - ; - ; - ; - ; - ;1; - ; - ; - 
Madukara; - ; - ; - ; - ; - ; - ; - ;1;1; - ; - ; - 
Banjarmangu; - ; - ; - ; - ; - ; - ; - ;1;1; - ; - ; - 
Wanadadi; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Rakit; - ; - ; - ; - ; - ; - ; - ; - ;1; - ;1; - 
Punggelan; - ; - ; - ;1;1; - ; - ; - ; - ; - ;1; - 
Karangkobar; - ; - ; - ; - ;1; - ; - ; - ; - ;1; - ; - 
Pagentan;1; - ; - ; - ; - ;1;1; - ;1; - ; - ; - 
Pejawaran; - ;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Batur; - ; - ; - ; - ; - ; - ; - ;1; - ;1; - ; - 
Wanayasa; - ; - ; - ; - ; - ;1;1;1; - ; - ; - ; - 
Kalibening; - ; - ; - ; - ; - ; - ; - ;2; - ; - ;1; - 
Pandanarum; - ; - ; - ; - ;1; - ; - ;2;1; - ; - ; - 
