Kecamatan;Jan;Feb;Mar;Apr;Mei;Juni;Jul;Agt;Sept;Okt;Nop;Des
Susukan; - ;1; - ; - ; - ; - ; - ; - ; - ; - ;1; - 
Purwareja Klampok; - ;1; - ; - ; - ; - ; - ; - ; - ; - ; - ;1
Mandiraja;1;2; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Purwanegara; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Bawang;1; - ; - ; - ; - ;1; - ; - ; - ; - ;1; - 
Banjarnegara; - ; - ; - ;1; - ; - ; - ; - ; - ;2; - ;1
Pagedongan; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Sigaluh; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Madukara; - ; - ; - ; - ; - ; - ; - ; - ; - ;1; - ; - 
Banjarmangu; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Wanadadi;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Rakit;2; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Punggelan; - ; - ;2; - ; - ; - ; - ; - ; - ; - ; - ;1
Karangkobar; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pagentan; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pejawaran; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;1; - 
Batur; - ; - ; - ;1; - ; - ; - ; - ; - ; - ; - ; - 
Wanayasa; - ; - ; - ;2; - ; - ; - ; - ; - ;1;1; - 
Kalibening; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pandanarum; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
