Kecamatan;Jan;Feb;Mar;Apr;Mei;Juni;Jul;Agt;Sept;Okt;Nop;Des
Susukan; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Purwareja Klampok; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Mandiraja; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Purwanegara; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Bawang; - ; - ;1; - ; - ; - ; - ; - ; - ; - ; - ; - 
Banjarnegara; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pagedongan; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Sigaluh; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Madukara; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Banjarmangu; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Wanadadi; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Rakit; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Punggelan; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Karangkobar; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pagentan; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pejawaran; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Batur; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Wanayasa; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Kalibening; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pandanarum; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
